lat,lon,District,TEHSIL,elevation,slope,aspect,roughness,dist_to_road,dist_to_building,dist_to_river,building_density,landuse_type,ndvi,rainfall_7day,rainfall_15day,label,Exposure
31.87647659,76.917,MANDI,PADHAR,1254,7.918813,215.53769,16.0,71.46498916841219,507.1235332603354,1180.0612276422978,1,forest,0.1778676,31.966,69.861,1,At Risk
31.9165547487,77.1292,KULLU,BHUNTAR,1149,22.200481,213.69008,37.0,26.33095503360915,2118.970008286201,167.29475655766655,0,residential,0.34703946,21.894,47.828,1,At Risk
31.9656925976,77.1093,KULLU,KULLU,1290,23.983538,199.09349,31.0,85.31135156936182,283.5828648275909,227.0066273827571,30,residential,0.37945384,31.966,69.861,1,At Risk
31.0629296112,77.1786,SHIMLA,SHIMLA,1943,23.813986,81.57303,33.0,52.71428769758105,56.445932812553686,494.01620734503916,140,forest,0.23139377,28.054,61.396,1,At Risk
31.4875711457,77.6945,SHIMLA,RAMPUR,1189,18.83441,354.55966,22.0,7.538230638698995,87.55437136193407,260.25074597028015,2,forest,0.09966531,23.856,52.159,1,At Risk
31.71512842,76.9323,MANDI,BALICHAUKI,756,19.24173,256.6075,24.0,3.189934393576938,505.80383486368714,210.10524020096233,22,residential,0.3185531,31.966,69.861,1,At Risk
31.97596597,76.8379,MANDI,JOGINDAR NAGAR,1445,16.55587,157.61986,24.0,20.715847649870483,3132.969973251949,930.0082396422598,0,forest,0.3917404,31.966,69.861,1,At Risk
31.77141615,76.7369,MANDI,DHARAMPUR,807,15.546159,35.537678,22.0,82.69496151494911,2519.542308101406,509.9579124062717,0,residential,0.52637094,31.966,69.861,1,At Risk
31.5613945317,76.6031,HAMIRPUR,HAMIRPUR,833,4.622196,143.1301,8.0,10.225143328280684,899.0295231739944,2891.4755102627887,2,forest,0.41646573,33.13,72.516,1,At Risk
30.6047956268,77.6729,SIRMAUR,KAMRAU,1485,24.09558,220.6013,39.0,30.388056400511037,50.53541065089551,1159.6904549093092,4,residential,0.30529523,32.082,70.255,1,At Risk
32.2393452144,76.3254,KANGRA,DHARMSHALA,1762,14.091218,165.06857,22.0,18.04467857168219,20.804700866463477,110.98835425226359,591,commercial,0.2580327,34.019,74.359,1,At Risk
31.4544944326,77.6536,SHIMLA,RAMPUR,1012,23.599482,321.009,39.0,36.13298061814964,217.9675734139096,175.55624234890885,2,forest,0.623641,23.856,52.159,1,At Risk
31.1240240514,77.3378,SHIMLA,THEOG,2270,24.711645,108.434944,35.0,33.93105869794491,1236.7702701615945,843.6511662340963,0,forest,0.2624899,28.054,61.396,1,At Risk
31.5924052,76.7772,MANDI,BALDWARA,1088,24.358583,270.0,31.0,109.26741869766697,676.2499803337653,1215.414259211988,1,forest,0.36057916,32.704,71.527,1,At Risk
31.0272761109,77.3797,SHIMLA,THEOG,1308,21.24327,225.0,34.0,84.90059485165223,1079.2497365504594,418.9516497060956,1,residential,0.7068273,28.054,61.396,1,At Risk
31.75674949,76.8852,MANDI,KOTLI,1145,19.749325,305.83765,30.0,80.39871686002282,946.6898645283617,1443.6332942203333,1,forest,0.52762175,31.966,69.861,1,At Risk
31.6448160043,77.3445,KULLU,BANJAR,1339,19.878128,333.43494,28.0,14.284348506866685,845.9132712814542,138.8889294210261,2,residential,0.09042173,21.894,47.828,1,At Risk
31.3685910718,77.5411,SHIMLA,RAMPUR,861,29.274902,303.23172,43.0,13.963100944984538,2132.537267387282,49.63524502943645,0,residential,0.48582473,23.856,52.159,1,At Risk
32.2505758659,77.1903,KULLU,MANALI,1919,22.403687,258.69006,29.0,25.41535480161254,35.20555121628269,67.85691441601574,243,residential,0.40050754,18.923,41.302,1,At Risk
32.0344776865,77.1278,KULLU,KULLU,1382,10.445859,37.87498,21.0,25.692247684770887,69.49744295064485,392.02206066045557,684,orchard,0.07980187,21.894,47.828,1,At Risk
31.9288217219,77.1142,KULLU,KULLU,1253,31.621439,76.32869,39.0,51.831375652128486,1087.9768742004537,465.2235790052785,0,forest,0.27939835,31.966,69.861,1,At Risk
31.99281759,76.8045,MANDI,JOGINDAR NAGAR,1267,11.699005,231.3402,17.0,6.364462265111644,362.5719331156895,333.3223310033237,5,industrial,0.4168859,31.966,69.861,1,At Risk
32.0838567559,76.5233,KANGRA,PALAMPUR,1127,9.92074,123.69006,15.0,1.395086602275532,929.1161247195889,154.98039846622876,2,forest,0.60733145,35.083,76.743,1,At Risk
31.7097304,77.1912,MANDI,AUT,967,21.623503,191.7683,31.0,41.31797835999382,748.5713598658191,181.26296351663458,1,residential,0.27858064,21.894,47.828,1,At Risk
31.370150704,77.5428,SHIMLA,RAMPUR,882,11.018079,311.63354,15.0,18.089597940430806,2033.575096982945,110.70656919291194,0,residential,0.09350177,23.856,52.159,1,At Risk
