Cordinates,Unnamed: 1,TEHSIL,District,STATE,merged_column,clean_coords,lat,lon,label,Exposure
"30.85039135, 77.2373",,R AJGARH,SIRMAUR,HIMACHAL PRADESH,,"30.85039135, 77.2373",30.85039135,77.2373,1,At Risk
,,BALICHAUKI,MANDI,HIMACHAL PRADESH,"31.6957048, 76.9232","31.6957048, 76.9232",31.6957048,76.9232,1,At Risk
"31.6591847381, 77.3181",,BANJAR,KULLU,HIMACHAL PRADESH,,"31.6591847381, 77.3181",31.6591847381,77.3181,1,At Risk
"76.7971, 31.381275171",,BILASPUR,BILASPUR,HIMACHAL PRADESH,,"76.7971, 31.381275171",76.7971,31.381275171,1,At Risk
"31.6430931848, 76.5559",,HAMIRPUR,HAMIRPUR,HIMACHAL PRADESH,,"31.6430931848, 76.5559",31.6430931848,76.5559,1,At Risk
,,KOTLI,MANDI,HIMACHAL PRADESH,"31.7456542, 76.896","31.7456542, 76.896",31.7456542,76.896,1,At Risk
"31.0898364196, 77.2862",,THEOG,SHIMLA,HIMACHAL PRADESH,,"31.0898364196, 77.2862",31.0898364196,77.2862,1,At Risk
"30.6288189034, 77.6834",,KAMRAU,SIRMAUR,HIMACHAL PRADESH,,"30.6288189034, 77.6834",30.6288189034,77.6834,1,At Risk
"32.0615476916, 76.0984",,JAWALI,KANGRA,HIMACHAL PRADESH,,"32.0615476916, 76.0984",32.0615476916,76.0984,1,At Risk
"32.4832724073, 77.1136",,LAHUL,LAHUL & SPITI,HIMACHAL PRADESH,,"32.4832724073, 77.1136",32.4832724073,77.1136,1,At Risk
"31.5154320733, 78.1549",,NICHAR,KINNAUR,HIMACHAL PRADESH,,"31.5154320733, 78.1549",31.5154320733,78.1549,1,At Risk
"31.0746317535, 76.9256",,ARKI,SOLAN,HIMACHAL PRADESH,,"31.0746317535, 76.9256",31.0746317535,76.9256,1,At Risk
"31.4516101293, 77.6349",,RAMPUR,SHIMLA,HIMACHAL PRADESH,,"31.4516101293, 77.6349",31.4516101293,77.6349,1,At Risk
"30.903541418, 77.0914",,SOLAN,SOLAN,HIMACHAL PRADESH,,"30.903541418, 77.0914",30.903541418,77.0914,1,At Risk
"31.4968680342, 77.7007",,NERMAND,KULLU,HIMACHAL PRADESH,,"31.4968680342, 77.7007",31.4968680342,77.7007,1,At Risk
"31.2429447958, 76.9107",,ARKI,SOLAN,HIMACHAL PRADESH,,"31.2429447958, 76.9107",31.2429447958,76.9107,1,At Risk
"30.9567370299, 77.1569",,KANDAGHAT,SOLAN,HIMACHAL PRADESH,,"30.9567370299, 77.1569",30.9567370299,77.1569,1,At Risk
"30.8302541927, 77.1649",,PACHHAD,SIRMAUR,HIMACHAL PRADESH,,"30.8302541927, 77.1649",30.8302541927,77.1649,1,At Risk
"30.9701245884, 76.9631",,KRISHANGARH,SOLAN,HIMACHAL PRADESH,,"30.9701245884, 76.9631",30.9701245884,76.9631,1,At Risk
,,SARKAGHAT,MANDI,HIMACHAL PRADESH,"31.70093154, 76.7365","31.70093154, 76.7365",31.70093154,76.7365,1,At Risk
,,SARKAGHAT,MANDI,HIMACHAL PRADESH,"31.71042306, 76.7362","31.71042306, 76.7362",31.71042306,76.7362,1,At Risk
"30.6223591593, 77.2866",,NAHAN,SIRMAUR,HIMACHAL PRADESH,,"30.6223591593, 77.2866",30.6223591593,77.2866,1,At Risk
"31.0905854608, 77.2863",,THEOG,SHIMLA,HIMACHAL PRADESH,,"31.0905854608, 77.2863",31.0905854608,77.2863,1,At Risk
"76.7254, 31.5105234834",,GHURMW|N,BILASPUR,HIMACHAL PRADESH,,"76.7254, 31.5105234834",76.7254,31.5105234834,1,At Risk
"31.0995850185, 77.2104",,SHIMLA,SHIMLA,HIMACHAL PRADESH,,"31.0995850185, 77.2104",31.0995850185,77.2104,1,At Risk
"31.0831197968, 77.1744",,SHIMLA,SHIMLA,HIMACHAL PRADESH,,"31.0831197968, 77.1744",31.0831197968,77.1744,1,At Risk
"31.9051180879, 77.1398",,BHUNTAR,KULLU,HIMACHAL PRADESH,,"31.9051180879, 77.1398",31.9051180879,77.1398,1,At Risk
,,SUNDAR NAGAR,MANDI,HIMACHAL PRADESH,"31.52735382, 76.8499","31.52735382, 76.8499",31.52735382,76.8499,1,At Risk
"30.6044302372, 77.6737",,KAMRAU,SIRMAUR,HIMACHAL PRADESH,,"30.6044302372, 77.6737",30.6044302372,77.6737,1,At Risk
"32.5542878477, 75.9506",,DALHOUSIE,CHAMBA,HIMACHAL PRADESH,,"32.5542878477, 75.9506",32.5542878477,75.9506,1,At Risk
"30.850511324, 76.9591",,KASAULI,SOLAN,HIMACHAL PRADESH,,"30.850511324, 76.9591",30.850511324,76.9591,1,At Risk
,,BALICHAUKI,MANDI,HIMACHAL PRADESH,"31.71492475, 76.9357","31.71492475, 76.9357",31.71492475,76.9357,1,At Risk
"31.5735045837, 77.9677",,NICHAR,KINNAUR,HIMACHAL PRADESH,,"31.5735045837, 77.9677",31.5735045837,77.9677,1,At Risk
"31.717956776, 77.2407",,SAINJ,KULLU,HIMACHAL PRADESH,,"31.717956776, 77.2407",31.717956776,77.2407,1,At Risk
"31.0078227706, 77.0953",,KANDAGHAT,SOLAN,HIMACHAL PRADESH,,"31.0078227706, 77.0953",31.0078227706,77.0953,1,At Risk
"32.4501154768, 75.9383",,BHATTIYAT,CHAMBA,HIMACHAL PRADESH,,"32.4501154768, 75.9383",32.4501154768,75.9383,1,At Risk
"32.2134368537, 76.3695",,DHARMSHALA,KANGRA,HIMACHAL PRADESH,,"32.2134368537, 76.3695",32.2134368537,76.3695,1,At Risk
,,KOTLI,MANDI,HIMACHAL PRADESH,"31.75553487, 76.8601","31.75553487, 76.8601",31.75553487,76.8601,1,At Risk
"30.7298931512, 77.1775",,PACHHAD,SIRMAUR,HIMACHAL PRADESH,,"30.7298931512, 77.1775",30.7298931512,77.1775,1,At Risk
"31.5201264672, 77.767",,RAMPUR,SHIMLA,HIMACHAL PRADESH,,"31.5201264672, 77.767",31.5201264672,77.767,1,At Risk
,,PADHAR,MANDI,HIMACHAL PRADESH,"31.87647659, 76.917","31.87647659, 76.917",31.87647659,76.917,1,At Risk
"31.9165547487, 77.1292",,BHUNTAR,KULLU,HIMACHAL PRADESH,,"31.9165547487, 77.1292",31.9165547487,77.1292,1,At Risk
"31.9656925976, 77.1093",,KULLU,KULLU,HIMACHAL PRADESH,,"31.9656925976, 77.1093",31.9656925976,77.1093,1,At Risk
"31.0629296112, 77.1786",,SHIMLA,SHIMLA,HIMACHAL PRADESH,,"31.0629296112, 77.1786",31.0629296112,77.1786,1,At Risk
"31.4875711457, 77.6945",,RAMPUR,SHIMLA,HIMACHAL PRADESH,,"31.4875711457, 77.6945",31.4875711457,77.6945,1,At Risk
,,BALICHAUKI,MANDI,HIMACHAL PRADESH,"31.71512842, 76.9323","31.71512842, 76.9323",31.71512842,76.9323,1,At Risk
,,JOGINDAR NAGAR,MANDI,HIMACHAL PRADESH,"31.97596597, 76.8379","31.97596597, 76.8379",31.97596597,76.8379,1,At Risk
,,DHARAMPUR,MANDI,HIMACHAL PRADESH,"31.77141615, 76.7369","31.77141615, 76.7369",31.77141615,76.7369,1,At Risk
"31.5613945317, 76.6031",,HAMIRPUR,HAMIRPUR,HIMACHAL PRADESH,,"31.5613945317, 76.6031",31.5613945317,76.6031,1,At Risk
"30.6047956268, 77.6729",,KAMRAU,SIRMAUR,HIMACHAL PRADESH,,"30.6047956268, 77.6729",30.6047956268,77.6729,1,At Risk
"32.2393452144, 76.3254",,DHARMSHALA,KANGRA,HIMACHAL PRADESH,,"32.2393452144, 76.3254",32.2393452144,76.3254,1,At Risk
"31.4544944326, 77.6536",,RAMPUR,SHIMLA,HIMACHAL PRADESH,,"31.4544944326, 77.6536",31.4544944326,77.6536,1,At Risk
"31.1240240514, 77.3378",,THEOG,SHIMLA,HIMACHAL PRADESH,,"31.1240240514, 77.3378",31.1240240514,77.3378,1,At Risk
,,BALDWARA,MANDI,HIMACHAL PRADESH,"31.5924052, 76.7772","31.5924052, 76.7772",31.5924052,76.7772,1,At Risk
"31.0272761109, 77.3797",,THEOG,SHIMLA,HIMACHAL PRADESH,,"31.0272761109, 77.3797",31.0272761109,77.3797,1,At Risk
,,KOTLI,MANDI,HIMACHAL PRADESH,"31.75674949, 76.8852","31.75674949, 76.8852",31.75674949,76.8852,1,At Risk
"31.6448160043, 77.3445",,BANJAR,KULLU,HIMACHAL PRADESH,,"31.6448160043, 77.3445",31.6448160043,77.3445,1,At Risk
"31.3685910718, 77.5411",,RAMPUR,SHIMLA,HIMACHAL PRADESH,,"31.3685910718, 77.5411",31.3685910718,77.5411,1,At Risk
"32.2505758659, 77.1903",,MANALI,KULLU,HIMACHAL PRADESH,,"32.2505758659, 77.1903",32.2505758659,77.1903,1,At Risk
"32.0344776865, 77.1278",,KULLU,KULLU,HIMACHAL PRADESH,,"32.0344776865, 77.1278",32.0344776865,77.1278,1,At Risk
"76.7871, 31.3674411509",,BILASPUR,BILASPUR,HIMACHAL PRADESH,,"76.7871, 31.3674411509",76.7871,31.3674411509,1,At Risk
"31.9288217219, 77.1142",,KULLU,KULLU,HIMACHAL PRADESH,,"31.9288217219, 77.1142",31.9288217219,77.1142,1,At Risk
,,JOGINDAR NAGAR,MANDI,HIMACHAL PRADESH,"31.99281759, 76.8045","31.99281759, 76.8045",31.99281759,76.8045,1,At Risk
"32.0838567559, 76.5233",,PALAMPUR,KANGRA,HIMACHAL PRADESH,,"32.0838567559, 76.5233",32.0838567559,76.5233,1,At Risk
,,AUT,MANDI,HIMACHAL PRADESH,"31.7097304, 77.1912","31.7097304, 77.1912",31.7097304,77.1912,1,At Risk
"31.370150704, 77.5428",,RAMPUR,SHIMLA,HIMACHAL PRADESH,,"31.370150704, 77.5428",31.370150704,77.5428,1,At Risk
,,DHARAMPUR,MANDI,HIMACHAL PRADESH,"31.80019696, 76.7609","31.80019696, 76.7609",31.80019696,76.7609,1,At Risk
"76.8698, 31.2584561319",,NAMHOL,BILASPUR,HIMACHAL PRADESH,,"76.8698, 31.2584561319",76.8698,31.2584561319,1,At Risk
"31.0651205682, 77.1702",,SHIMLA,SHIMLA,HIMACHAL PRADESH,,"31.0651205682, 77.1702",31.0651205682,77.1702,1,At Risk
"31.1036959769, 77.6503",,JUBBAL,SHIMLA,HIMACHAL PRADESH,,"31.1036959769, 77.6503",31.1036959769,77.6503,1,At Risk
"31.2998007812, 77.4503",,KUMHARSAIN,SHIMLA,HIMACHAL PRADESH,,"31.2998007812, 77.4503",31.2998007812,77.4503,1,At Risk
,,BALICHAUKI,MANDI,HIMACHAL PRADESH,"31.70406067, 76.9279","31.70406067, 76.9279",31.70406067,76.9279,1,At Risk
"31.096425211, 77.4066",,THEOG,SHIMLA,HIMACHAL PRADESH,,"31.096425211, 77.4066",31.096425211,77.4066,1,At Risk
"31.1044956586, 77.7729",,JUBBAL,SHIMLA,HIMACHAL PRADESH,,"31.1044956586, 77.7729",31.1044956586,77.7729,1,At Risk
"31.2220809374, 76.9531",,ARKI,SOLAN,HIMACHAL PRADESH,,"31.2220809374, 76.9531",31.2220809374,76.9531,1,At Risk
,,PADHAR,MANDI,HIMACHAL PRADESH,"31.81914173, 76.9405","31.81914173, 76.9405",31.81914173,76.9405,1,At Risk
"32.5602550236, 76.128",,CHAMBA,CHAMBA,HIMACHAL PRADESH,,"32.5602550236, 76.128",32.5602550236,76.128,1,At Risk
"31.1032051054, 77.7898",,JUBBAL,SHIMLA,HIMACHAL PRADESH,,"31.1032051054, 77.7898",31.1032051054,77.7898,1,At Risk
,,BALICHAUKI,MANDI,HIMACHAL PRADESH,"31.78316133, 76.9379","31.78316133, 76.9379",31.78316133,76.9379,1,At Risk
,,DHARAMPUR,MANDI,HIMACHAL PRADESH,"31.81974266, 76.7693","31.81974266, 76.7693",31.81974266,76.7693,1,At Risk
"31.7115789176, 76.6283",,BAMSAN,HAMIRPUR,HIMACHAL PRADESH,,"31.7115789176, 76.6283",31.7115789176,76.6283,1,At Risk
"31.2897577985, 76.9268",,ARKI,SOLAN,HIMACHAL PRADESH,,"31.2897577985, 76.9268",31.2897577985,76.9268,1,At Risk
"30.8345190625, 76.9853",,KASAULI,SOLAN,HIMACHAL PRADESH,,"30.8345190625, 76.9853",30.8345190625,76.9853,1,At Risk
,,JOGINDAR NAGAR,MANDI,HIMACHAL PRADESH,"31.94904511, 76.7944","31.94904511, 76.7944",31.94904511,76.7944,1,At Risk
"32.0028289167, 76.1567",,DERA GOPIPUR,KANGRA,HIMACHAL PRADESH,,"32.0028289167, 76.1567",32.0028289167,76.1567,1,At Risk
"30.9422483964, 76.8818",,BADDI,SOLAN,HIMACHAL PRADESH,,"30.9422483964, 76.8818",30.9422483964,76.8818,1,At Risk
"76.8366, 31.2530632711",,NAMHOL,BILASPUR,HIMACHAL PRADESH,,"76.8366, 31.2530632711",76.8366,31.2530632711,1,At Risk
"31.1189036431, 77.706",,JUBBAL,SHIMLA,HIMACHAL PRADESH,,"31.1189036431, 77.706",31.1189036431,77.706,1,At Risk
"30.8971000207, 77.0146",,KASAULI,SOLAN,HIMACHAL PRADESH,,"30.8971000207, 77.0146",30.8971000207,77.0146,1,At Risk
"76.7624, 31.264525281",,BILASPUR,BILASPUR,HIMACHAL PRADESH,,"76.7624, 31.264525281",76.7624,31.264525281,1,At Risk
"31.122831853, 77.3564",,THEOG,SHIMLA,HIMACHAL PRADESH,,"31.122831853, 77.3564",31.122831853,77.3564,1,At Risk
"31.9223955397, 77.1261",,BHUNTAR,KULLU,HIMACHAL PRADESH,,"31.9223955397, 77.1261",31.9223955397,77.1261,1,At Risk
"32.47901426, 77.1279",,LAHUL,LAHUL & SPITI,HIMACHAL PRADESH,,"32.47901426, 77.1279",32.47901426,77.1279,1,At Risk
"31.6648797362, 77.3322",,BANJAR,KULLU,HIMACHAL PRADESH,,"31.6648797362, 77.3322",31.6648797362,77.3322,1,At Risk
"31.1640576007, 77.0229",,ARKI,SOLAN,HIMACHAL PRADESH,,"31.1640576007, 77.0229",31.1640576007,77.0229,1,At Risk
"30.8979890974, 77.0897",,SOLAN,SOLAN,HIMACHAL PRADESH,,"30.8979890974, 77.0897",30.8979890974,77.0897,1,At Risk
"31.577123904, 77.3606",,BANJAR,KULLU,HIMACHAL PRADESH,,"31.577123904, 77.3606",31.577123904,77.3606,1,At Risk
"32.0450255306, 77.1281",,KULLU,KULLU,HIMACHAL PRADESH,,"32.0450255306, 77.1281",32.0450255306,77.1281,1,At Risk
"31.7188481902, 76.6627",,BAMSAN,HAMIRPUR,HIMACHAL PRADESH,,"31.7188481902, 76.6627",31.7188481902,76.6627,1,At Risk
"76.7606, 31.359216255",,BILASPUR,BILASPUR,HIMACHAL PRADESH,,"76.7606, 31.359216255",76.7606,31.359216255,1,At Risk
"31.0057467292, 77.3721",,RANHOT,SIRMAUR,HIMACHAL PRADESH,,"31.0057467292, 77.3721",31.0057467292,77.3721,1,At Risk
"30.8633313224, 77.0013",,KASAULI,SOLAN,HIMACHAL PRADESH,,"30.8633313224, 77.0013",30.8633313224,77.0013,1,At Risk
"30.7186213298, 77.1899",,PACHHAD,SIRMAUR,HIMACHAL PRADESH,,"30.7186213298, 77.1899",30.7186213298,77.1899,1,At Risk
,,PADHAR,MANDI,HIMACHAL PRADESH,"31.91263178, 76.8855","31.91263178, 76.8855",31.91263178,76.8855,1,At Risk
"32.4015888327, 75.985",,BHATTIYAT,CHAMBA,HIMACHAL PRADESH,,"32.4015888327, 75.985",32.4015888327,75.985,1,At Risk
,,DHARAMPUR,MANDI,HIMACHAL PRADESH,"31.79111305, 76.7594","31.79111305, 76.7594",31.79111305,76.7594,1,At Risk
"32.1297030858, 76.5444",,PALAMPUR,KANGRA,HIMACHAL PRADESH,,"32.1297030858, 76.5444",32.1297030858,76.5444,1,At Risk
"32.5521605536, 76.125",,CHAMBA,CHAMBA,HIMACHAL PRADESH,,"32.5521605536, 76.125",32.5521605536,76.125,1,At Risk
"31.7154738648, 76.6487",,BAMSAN,HAMIRPUR,HIMACHAL PRADESH,,"31.7154738648, 76.6487",31.7154738648,76.6487,1,At Risk
"31.6441134473, 77.3441",,BANJAR,KULLU,HIMACHAL PRADESH,,"31.6441134473, 77.3441",31.6441134473,77.3441,1,At Risk
,,PADHAR,MANDI,HIMACHAL PRADESH,"31.82456661, 76.9386","31.82456661, 76.9386",31.82456661,76.9386,1,At Risk
"32.5878817587, 75.9842",,DALHOUSIE,CHAMBA,HIMACHAL PRADESH,,"32.5878817587, 75.9842",32.5878817587,75.9842,1,At Risk
"76.7269, 31.4722273246",,GHURMW|N,BILASPUR,HIMACHAL PRADESH,,"76.7269, 31.4722273246",76.7269,31.4722273246,1,At Risk
"30.9268389226, 77.1146",,SOLAN,SOLAN,HIMACHAL PRADESH,,"30.9268389226, 77.1146",30.9268389226,77.1146,1,At Risk
"31.2058255314, 77.4248",,THEOG,SHIMLA,HIMACHAL PRADESH,,"31.2058255314, 77.4248",31.2058255314,77.4248,1,At Risk
"30.8193624585, 77.0929",,PACHHAD,SIRMAUR,HIMACHAL PRADESH,,"30.8193624585, 77.0929",30.8193624585,77.0929,1,At Risk
"31.3735737054, 77.4918",,NERMAND,KULLU,HIMACHAL PRADESH,,"31.3735737054, 77.4918",31.3735737054,77.4918,1,At Risk
"30.5573389831, 77.2943",,NAHAN,SIRMAUR,HIMACHAL PRADESH,,"30.5573389831, 77.2943",30.5573389831,77.2943,1,At Risk
"31.2065766777, 77.3963",,THEOG,SHIMLA,HIMACHAL PRADESH,,"31.2065766777, 77.3963",31.2065766777,77.3963,1,At Risk
,,BALDWARA,MANDI,HIMACHAL PRADESH,"31.59488514, 76.7739","31.59488514, 76.7739",31.59488514,76.7739,1,At Risk
,,BALICHAUKI,MANDI,HIMACHAL PRADESH,"31.70506794, 76.9439","31.70506794, 76.9439",31.70506794,76.9439,1,At Risk
,,BALICHAUKI,MANDI,HIMACHAL PRADESH,"31.69193693, 76.9217","31.69193693, 76.9217",31.69193693,76.9217,1,At Risk
"32.5185636721, 75.9388",,DALHOUSIE,CHAMBA,HIMACHAL PRADESH,,"32.5185636721, 75.9388",32.5185636721,75.9388,1,At Risk
"30.514078364, 77.3459",,NAHAN,SIRMAUR,HIMACHAL PRADESH,,"30.514078364, 77.3459",30.514078364,77.3459,1,At Risk
"30.8040129604, 77.1187",,PACHHAD,SIRMAUR,HIMACHAL PRADESH,,"30.8040129604, 77.1187",30.8040129604,77.1187,1,At Risk
"31.1687017437, 77.7203",,ROHRU,SHIMLA,HIMACHAL PRADESH,,"31.1687017437, 77.7203",31.1687017437,77.7203,1,At Risk
"76.7622, 31.3331943122",,BILASPUR,BILASPUR,HIMACHAL PRADESH,,"76.7622, 31.3331943122",76.7622,31.3331943122,1,At Risk
"31.4923702189, 77.7052",,RAMPUR,SHIMLA,HIMACHAL PRADESH,,"31.4923702189, 77.7052",31.4923702189,77.7052,1,At Risk
,,BALICHAUKI,MANDI,HIMACHAL PRADESH,"31.70577492, 76.9328","31.70577492, 76.9328",31.70577492,76.9328,1,At Risk
"31.0422598896, 77.1264",,SHIMLA,SHIMLA,HIMACHAL PRADESH,,"31.0422598896, 77.1264",31.0422598896,77.1264,1,At Risk
"32.4587710371, 75.931",,BHATTIYAT,CHAMBA,HIMACHAL PRADESH,,"32.4587710371, 75.931",32.4587710371,75.931,1,At Risk
,,BALICHAUKI,MANDI,HIMACHAL PRADESH,"31.69329823, 76.9224","31.69329823, 76.9224",31.69329823,76.9224,1,At Risk
"31.4988241049, 77.7095",,RAMPUR,SHIMLA,HIMACHAL PRADESH,,"31.4988241049, 77.7095",31.4988241049,77.7095,1,At Risk
,,BALICHAUKI,MANDI,HIMACHAL PRADESH,"31.70319408, 76.9256","31.70319408, 76.9256",31.70319408,76.9256,1,At Risk
"31.5685708611, 77.848",,NICHAR,KINNAUR,HIMACHAL PRADESH,,"31.5685708611, 77.848",31.5685708611,77.848,1,At Risk
,,JOGINDAR NAGAR,MANDI,HIMACHAL PRADESH,"31.96778382, 76.8512","31.96778382, 76.8512",31.96778382,76.8512,1,At Risk
"31.5494898145, 78.0081",,NICHAR,KINNAUR,HIMACHAL PRADESH,,"31.5494898145, 78.0081",31.5494898145,78.0081,1,At Risk
"30.8410944839, 76.9983",,KASAULI,SOLAN,HIMACHAL PRADESH,,"30.8410944839, 76.9983",30.8410944839,76.9983,1,At Risk
,,PADHAR,MANDI,HIMACHAL PRADESH,"31.83728365, 76.9369","31.83728365, 76.9369",31.83728365,76.9369,1,At Risk
"30.8390349708, 76.9894",,KASAULI,SOLAN,HIMACHAL PRADESH,,"30.8390349708, 76.9894",30.8390349708,76.9894,1,At Risk
"30.8927703053, 77.0366",,SOLAN,SOLAN,HIMACHAL PRADESH,,"30.8927703053, 77.0366",30.8927703053,77.0366,1,At Risk
"30.9895785404, 77.0946",,KANDAGHAT,SOLAN,HIMACHAL PRADESH,,"30.9895785404, 77.0946",30.9895785404,77.0946,1,At Risk
"31.1237747257, 77.3557",,THEOG,SHIMLA,HIMACHAL PRADESH,,"31.1237747257, 77.3557",31.1237747257,77.3557,1,At Risk
"31.1005807716, 77.2058",,SHIMLA,SHIMLA,HIMACHAL PRADESH,,"31.1005807716, 77.2058",31.1005807716,77.2058,1,At Risk
"30.9227792406, 77.0953",,SOLAN,SOLAN,HIMACHAL PRADESH,,"30.9227792406, 77.0953",30.9227792406,77.0953,1,At Risk
,,BALDWARA,MANDI,HIMACHAL PRADESH,"31.59762091, 76.8152","31.59762091, 76.8152",31.59762091,76.8152,1,At Risk
"32.4741417034, 75.9091",,BHATTIYAT,CHAMBA,HIMACHAL PRADESH,,"32.4741417034, 75.9091",32.4741417034,75.9091,1,At Risk
"31.718531092, 76.5603",,BAMSAN,HAMIRPUR,HIMACHAL PRADESH,,"31.718531092, 76.5603",31.718531092,76.5603,1,At Risk
,,DHARAMPUR,MANDI,HIMACHAL PRADESH,"31.79381545, 76.7451","31.79381545, 76.7451",31.79381545,76.7451,1,At Risk
"30.9885111034, 76.9481",,KRISHANGARH,SOLAN,HIMACHAL PRADESH,,"30.9885111034, 76.9481",30.9885111034,76.9481,1,At Risk
"30.6054549294, 77.6722",,KAMRAU,SIRMAUR,HIMACHAL PRADESH,,"30.6054549294, 77.6722",30.6054549294,77.6722,1,At Risk
,,BALICHAUKI,MANDI,HIMACHAL PRADESH,"31.78392085, 76.9391","31.78392085, 76.9391",31.78392085,76.9391,1,At Risk
"31.1061264139, 77.207",,SHIMLA,SHIMLA,HIMACHAL PRADESH,,"31.1061264139, 77.207",31.1061264139,77.207,1,At Risk
"31.0735184536, 76.8986",,KRISHANGARH,SOLAN,HIMACHAL PRADESH,,"31.0735184536, 76.8986",31.0735184536,76.8986,1,At Risk
,,BALH,MANDI,HIMACHAL PRADESH,"31.63064666, 76.8497","31.63064666, 76.8497",31.63064666,76.8497,1,At Risk
"31.4928227294, 77.6878",,NERMAND,KULLU,HIMACHAL PRADESH,,"31.4928227294, 77.6878",31.4928227294,77.6878,1,At Risk
,,SARKAGHAT,MANDI,HIMACHAL PRADESH,"31.70422126, 76.6907","31.70422126, 76.6907",31.70422126,76.6907,1,At Risk
"31.1033170062, 77.1721",,SHIMLA,SHIMLA,HIMACHAL PRADESH,,"31.1033170062, 77.1721",31.1033170062,77.1721,1,At Risk
"31.101031469, 77.1197",,SHIMLA,SHIMLA,HIMACHAL PRADESH,,"31.101031469, 77.1197",31.101031469,77.1197,1,At Risk
"31.9442375473, 77.0787",,KULLU,KULLU,HIMACHAL PRADESH,,"31.9442375473, 77.0787",31.9442375473,77.0787,1,At Risk
"31.1414847612, 77.7498",,JUBBAL,SHIMLA,HIMACHAL PRADESH,,"31.1414847612, 77.7498",31.1414847612,77.7498,1,At Risk
"31.1289954089, 77.7338",,JUBBAL,SHIMLA,HIMACHAL PRADESH,,"31.1289954089, 77.7338",31.1289954089,77.7338,1,At Risk
"31.4545710346, 77.6411",,RAMPUR,SHIMLA,HIMACHAL PRADESH,,"31.4545710346, 77.6411",31.4545710346,77.6411,1,At Risk
"31.0977855908, 77.1949",,SHIMLA,SHIMLA,HIMACHAL PRADESH,,"31.0977855908, 77.1949",31.0977855908,77.1949,1,At Risk
