elevation,slope,aspect,roughness,dist_to_road,dist_to_building,dist_to_river,building_density,ndvi,rainfall_7day,rainfall_15day,landuse_commercial,landuse_farmland,landuse_forest,landuse_industrial,landuse_military,landuse_nature_reserve,landuse_other,landuse_park,landuse_recreation_ground,landuse_residential,landuse_retail,landuse_scrub
-0.032903737620858575,0.7083217328475776,-1.4540422397808372,1.154573861154358,-0.01906018100206666,-0.8279767216126861,0.47469543269825454,-0.2134903574674858,1.9627802012286366,-1.3412136815325832,-1.3410565006222437,-0.05865043794628806,-0.1344177373446079,0.5711100959075462,-0.10970077344424127,-0.06393345410910117,-0.10691656205441229,-0.07604224399042062,-0.07264261929615312,-0.05250893622995179,-0.46496278718651596,-0.050947382187407984,-0.05849697902296365
0.07680561562743747,-1.0038136067811856,-0.9222394007278719,-0.6168880779878569,-0.5256910653949723,-1.05030445061923,-0.6665111836815174,-0.2134903574674858,-1.5963776947164066,-0.3705683288032309,-0.3652296047568076,-0.05865043794628806,-0.1344177373446079,0.5711100959075462,-0.10970077344424127,-0.06393345410910117,-0.10691656205441229,-0.07604224399042062,-0.07264261929615312,-0.05250893622995179,-0.46496278718651596,-0.050947382187407984,-0.05849697902296365
-0.18218039859804827,-1.8257213832156574,1.7627600012521718,-1.2811863051661874,3.394029513198052,-0.08407378784535126,1.5207089379120098,-0.217864874022345,-0.20391082911365327,0.587360136265305,0.5927435782796513,-0.05865043794628806,-0.1344177373446079,0.5711100959075462,-0.10970077344424127,-0.06393345410910117,-0.10691656205441229,-0.07604224399042062,-0.07264261929615312,-0.05250893622995179,-0.46496278718651596,-0.050947382187407984,-0.05849697902296365
0.4850682908301129,-0.47626364875692606,-0.8631142020156303,-0.7645099062497082,-0.4101669429972332,0.8183151581829323,-0.08260690420423843,-0.217864874022345,0.6677691113794338,-0.3705683288032309,-0.3652296047568076,-0.05865043794628806,-0.1344177373446079,0.5711100959075462,-0.10970077344424127,-0.06393345410910117,-0.10691656205441229,-0.07604224399042062,-0.07264261929615312,-0.05250893622995179,-0.46496278718651596,-0.050947382187407984,-0.05849697902296365
-0.39260653515625543,2.038930602100716,-1.5362562273557934,2.1141157448563908,-0.5545240315412424,1.4209214701699728,-0.7926841891946064,-0.217864874022345,-1.7049045640965694,-0.3705683288032309,-0.3652296047568076,-0.05865043794628806,-0.1344177373446079,0.5711100959075462,-0.10970077344424127,-0.06393345410910117,-0.10691656205441229,-0.07604224399042062,-0.07264261929615312,-0.05250893622995179,-0.46496278718651596,-0.050947382187407984,-0.05849697902296365
-0.7702944725684221,-1.0908669597702942,-0.8555913841083221,-1.0597535627734107,1.574870966119952,-0.4168628749677099,-0.6478310346603009,-0.03413517871825847,-0.3107057403750048,1.0086359420473148,1.0042241195155361,-0.05865043794628806,-0.1344177373446079,0.5711100959075462,-0.10970077344424127,-0.06393345410910117,-0.10691656205441229,-0.07604224399042062,-0.07264261929615312,-0.05250893622995179,-0.46496278718651596,-0.050947382187407984,-0.05849697902296365
0.10018629746723827,-0.800721064682859,-0.6249715915009394,-0.6168880779878569,-0.46377500906059593,-0.7604411389662311,1.1190874790259606,-0.20911584091262658,-0.059925835583760356,1.0086359420473148,1.0042241195155361,-0.05865043794628806,-0.1344177373446079,0.5711100959075462,-0.10970077344424127,-0.06393345410910117,-0.10691656205441229,-0.07604224399042062,-0.07264261929615312,-0.05250893622995179,-0.46496278718651596,-0.050947382187407984,-0.05849697902296365
0.8285844624764169,1.2928176714563393,-1.01350397208534,0.933141118761581,0.6404666808703017,-0.989393011166823,-0.8231804391578437,-0.06475679460227289,0.12553375018425622,0.5339492080898686,0.5290406857596932,-0.05865043794628806,-0.1344177373446079,0.5711100959075462,-0.10970077344424127,-0.06393345410910117,-0.10691656205441229,-0.07604224399042062,-0.07264261929615312,-0.05250893622995179,-0.46496278718651596,-0.050947382187407984,-0.05849697902296365
2.0497754601090894,1.2462708616368112,-0.4385824110120712,0.7855192904997297,2.7356545955344993,1.8245648901121077,1.0324348246614174,-0.217864874022345,0.20728811597191754,-1.3412136815325832,-1.3410565006222437,-0.05865043794628806,-0.1344177373446079,0.5711100959075462,-0.10970077344424127,-0.06393345410910117,-0.10691656205441229,-0.07604224399042062,-0.07264261929615312,-0.05250893622995179,-0.46496278718651596,-0.050947382187407984,-0.05849697902296365
-0.7343241928148825,0.04125590342310268,1.5965064665790905,-0.026400764940452015,-0.4176784847912254,-0.5502386017025767,-0.7076524980924926,-0.18286874158347138,0.3283306998601306,1.0086359420473148,1.0042241195155361,-0.05865043794628806,-0.1344177373446079,0.5711100959075462,-0.10970077344424127,-0.06393345410910117,-0.10691656205441229,-0.07604224399042062,-0.07264261929615312,-0.05250893622995179,-0.46496278718651596,-0.050947382187407984,-0.05849697902296365
